t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1418989566,10,5,3.000000,1,2.108185,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989571,10,5,3.000000,1,2.108185,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989576,10,5,3.000000,1,2.108185,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989581,10,5,3.000000,1,2.108185,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989586,10,5,3.000000,1,2.108185,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989591,10,5,3.000000,1,2.108185,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989596,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989601,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989606,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989611,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989616,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989621,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989626,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989631,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989636,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989641,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989646,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989651,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989656,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989661,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989666,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989671,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989676,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989681,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989686,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989691,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989696,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989701,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989706,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989711,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989716,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989721,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989726,12,5,3.000000,1,2.088932,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989731,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989736,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989741,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989746,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989751,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989756,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989761,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989766,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989771,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989776,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989781,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989786,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989791,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989796,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989801,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989806,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989811,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989816,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989821,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989826,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989831,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989836,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989841,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989846,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989851,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989856,14,5,3.000000,1,2.075498,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989861,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989866,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989871,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989876,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989881,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989886,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989891,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989896,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989901,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989906,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989911,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989916,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989921,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989926,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989931,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989936,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989941,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989946,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989951,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989956,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989961,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989966,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989971,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989976,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989981,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989986,16,5,3.000000,1,2.065591,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989991,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418989996,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990001,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990006,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990011,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990016,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990021,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990026,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990031,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990036,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990041,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990046,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990051,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990056,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990061,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990066,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990071,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990076,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990081,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990086,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990091,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990096,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990101,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990106,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990111,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990116,18,5,3.000000,1,2.057983,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990121,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990126,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990131,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990136,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
1418990141,20,5,3.000000,1,2.051957,3.000000,5.000000,5.000000,5.000000,5.000000,5.000000
